Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
hsa-mir-034precNo1,hsa-miR-34a,Homo sapiens,yes,NA
hsa-mir-092-prec-X=092-2,hsa-miR-92a,Homo sapiens,yes,NA
hsa-mir-096-prec-7No2,hsa-miR-96,Homo sapiens,yes,NA
hsa-mir-123-precNo1,hsa-miR-126*,Homo sapiens,yes,NA
hsa-mir-124a-3-prec,hsa-mir-124-1,Homo sapiens,yes,NA
hsa-mir-125b-2-precNo1,hsa-miR-125b-2*,Homo sapiens,yes,NA
hsa-mir-134-precNo2,hsa-miR-134,Homo sapiens,yes,NA
hsa-mir-136-precNo2,hsa-miR-136,Homo sapiens,yes,NA
hsa-mir-139-prec,hsa-mir-139,Homo sapiens,no,NA
hsa-mir-152-precNo1,hsa-miR-152,Homo sapiens,yes,NA
hsa-mir-153-2-prec,hsa-miR-153,Homo sapiens,yes,NA
hsa-mir-181a-precNo1,hsa-miR-181a,Homo sapiens,yes,NA
mmu-mir-125b-2No2,mmu-miR-125b*,Mus musculus,yes,NA
mmu-mir-135a-1No2,mmu-miR-135a*,Mus musculus,yes,NA
mmu-mir-140No2,mmu-mir-140,Mus musculus,no,NA
mmu-mir-106bNo2,mmu-miR-106b*,Mus musculus,yes,NA
mmu-mir-192No2,mmu-mir-192,Mus musculus,no,NA
mmu-let-7a-2No2,mmu-let-7a-2,Mus musculus,no,NA
mmu-mir-31No2,mmu-miR-31*,Mus musculus,yes,NA
mmu-mir-98No2,mmu-mir-98,Mus musculus,no,NA
mmu-mir-345No2,mmu-mir-345,Mus musculus,no,NA
mmu-mir-224No2,mmu-mir-224,Mus musculus,no,NA
mmu-mir-181cNo2,mmu-mir-181c,Mus musculus,no,NA
mmu-mir-335No2,mmu-mir-335,Mus musculus,no,NA
hsa-mir-1-1No1,hsa-miR-1,Homo sapiens,yes,NA
hsa-mir-133bNo1,hsa-mir-133b,Homo sapiens,no,NA
hsa-mir-200cNo1,hsa-miR-200c,Homo sapiens,yes,NA
hsa-mir-340No1,hsa-miR-340*,Homo sapiens,yes,NA
hsa-mir-369No1,hsa-mir-369,Homo sapiens,no,NA
hsa-mir-373No1,hsa-miR-373,Homo sapiens,yes,NA
hsa-mir-302bNo2,hsa-miR-302b*,Homo sapiens,yes,NA
hsa-mir-323No2,hsa-mir-323,Homo sapiens,no,NA
hsa-mir-330No2,hsa-mir-330,Homo sapiens,no,NA
