Array Design Name	OSUCCC miRarray v3.0 [mature miRNAs only]
Provider	Jeff J Palatini(jeff.palatini@osumc.edu)
Comment[ArrayExpressAccession]	A-GEOD-13415
Comment[SecondaryAccession]	GPL13415
Comment[Description]	Array Manufacturer: Microarray Shared Resource, Comprehensive Cancer Center, The Ohio State University (OSU-CCC), Distribution: non-commercial, Technology: spotted oligonucleotide, Only mature human miRNAs are represented.<br>Reporter Database Entry [mirbase] = Registry name in Sanger's miRBase (http://microrna.sanger.ac.uk) LINK_PRE:http://microrna.sanger.ac.uk/cgi-bin/sequences/mirna_entry.pl?acc=<br>Comment[Class] = Whether or not the oligo sequence contains the mature miRNA sequence<br>Reporter Group [organism] = Organism
Comment[SubmittedName]	OSUCCC miRarray v3.0 [mature miRNAs only]
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-05-11
Printing Protocol	Manufactured using GE Healthcare's CodeLink (TM) 3-D Gel Matrix Technology. CodeLink(tm) Activated Slides are designed to covalently immoblize amine-modified DNA for microarrays. The slides are coated with a 3-D surface chemistry comprised of a long-chain, hydrophilic polymer containing amine-reactive groups. This polymer is covalently crosslinked to itself and to the surface of the slide. The crosslinked polymer, combined with end-point attachment, orients the immobilized DNA, and holds it away from the surface of the slide. The 1x printing buffer consists of 50 mM sodium phosphate at pH 8.5. Codelink slides are manufactured by SurModics and were formally sold as 3D-Link(tm) Activated Slides. Microarrays are printed with an Omnigrid robotic arrayer by Genomic Solutions that is fitted with a printhead and 16 SMP3 print tips from Telechem. The microRNA microarray probe set is based on 40mer oligonucleotides from Sigma-Genosys. Oligonucleotide probes are distributed into 384-well polypropylene plates (Genetix, 384 micro array) and dissolved in print buffer (150mM sodium phosphate, pH 8.5, 4% sodium sulfate, 0.0001% N-lauryl sarcosyl) to a normalized 25 micromolar concentration. The miRNA microarray spot densities are 200 microns (center-to-center). The microarrays are printed on Codelink Activated Slide (PN300011)) and treated by a method that is an adaptation of the manufacturer's instructions to allow higher throughput processing.
Surface Type
Substrate Type
Term Source Name	mirbase
Comment[AdditionalFile:txt]	A-GEOD-13415_comments.txt

[main]
Reporter Name	Reporter Database Entry [mirbase]	Reporter Group [organism]
hsa-miR-489	hsa-miR-489	Homo sapiens
hsa-miR-98	hsa-miR-98	Homo sapiens
hsa-miR-181b	hsa-miR-181b	Homo sapiens
hsa-miR-99b	hsa-miR-99b	Homo sapiens
hsa-miR-361-5p	hsa-miR-361-5p	Homo sapiens
hsa-miR-365	hsa-miR-365	Homo sapiens
hsa-miR-181d	hsa-miR-181d	Homo sapiens
hsa-miR-433	hsa-miR-433	Homo sapiens
hsa-miR-155	hsa-miR-155	Homo sapiens
hsa-miR-135b	hsa-miR-135b	Homo sapiens
hsa-miR-17	hsa-miR-17	Homo sapiens
hsa-miR-93	hsa-miR-93	Homo sapiens
hsa-miR-363	hsa-miR-363	Homo sapiens
hsa-miR-181c	hsa-miR-181c	Homo sapiens
hsa-miR-124*	hsa-miR-124*	Homo sapiens
hsa-miR-449a	hsa-miR-449a	Homo sapiens
hsa-miR-383	hsa-miR-383	Homo sapiens
hsa-miR-453	hsa-miR-453	Homo sapiens
hsa-miR-211	hsa-miR-211	Homo sapiens
hsa-miR-204	hsa-miR-204	Homo sapiens
hsa-miR-140-3p	hsa-miR-140-3p	Homo sapiens
hsa-miR-34a	hsa-miR-34a	Homo sapiens
hsa-miR-181a	hsa-miR-181a	Homo sapiens
hsa-miR-342-3p	hsa-miR-342-3p	Homo sapiens
hsa-miR-671-3p	hsa-miR-671-3p	Homo sapiens
hsa-miR-499-3p	hsa-miR-499-3p	Homo sapiens
hsa-miR-10a*	hsa-miR-10a*	Homo sapiens
hsa-miR-421	hsa-miR-421	Homo sapiens
hsa-miR-200c*	hsa-miR-200c*	Homo sapiens
hsa-miR-30c-1*	hsa-miR-30c-1*	Homo sapiens
hsa-miR-199b-3p	hsa-miR-199b-3p	Homo sapiens
hsa-miR-25	hsa-miR-25	Homo sapiens
hsa-miR-23b	hsa-miR-23b	Homo sapiens
hsa-miR-30c-2*	hsa-miR-30c-2*	Homo sapiens
hsa-miR-92a	hsa-miR-92a	Homo sapiens
hsa-miR-144	hsa-miR-144	Homo sapiens
hsa-miR-335*	hsa-miR-335*	Homo sapiens
hsa-miR-21*	hsa-miR-21*	Homo sapiens
hsa-miR-30a	hsa-miR-30a	Homo sapiens
hsa-miR-96	hsa-miR-96	Homo sapiens
hsa-miR-198	hsa-miR-198	Homo sapiens
hsa-miR-181a-2*	hsa-miR-181a-2*	Homo sapiens
hsa-miR-296-3p	hsa-miR-296-3p	Homo sapiens
hsa-miR-23a	hsa-miR-23a	Homo sapiens
hsa-miR-668	hsa-miR-668	Homo sapiens
hsa-let-7i	hsa-let-7i	Homo sapiens
hsa-miR-106b	hsa-miR-106b	Homo sapiens
hsa-miR-493	hsa-miR-493	Homo sapiens
hsa-miR-200c	hsa-miR-200c	Homo sapiens
hsa-miR-330-3p	hsa-miR-330-3p	Homo sapiens
hsa-miR-34b*	hsa-miR-34b*	Homo sapiens
hsa-miR-199a-5p	hsa-miR-199a-5p	Homo sapiens
hsa-miR-132*	hsa-miR-132*	Homo sapiens
hsa-miR-106a	hsa-miR-106a	Homo sapiens
hsa-miR-130b*	hsa-miR-130b*	Homo sapiens
hsa-miR-499-5p	hsa-miR-499-5p	Homo sapiens
hsa-miR-27b	hsa-miR-27b	Homo sapiens
hsa-miR-128a	hsa-miR-128a	Homo sapiens
hsa-miR-500*	hsa-miR-500*	Homo sapiens
hsa-miR-29b-1*	hsa-miR-29b-1*	Homo sapiens
hsa-miR-152	hsa-miR-152	Homo sapiens
hsa-miR-373	hsa-miR-373	Homo sapiens
hsa-miR-214	hsa-miR-214	Homo sapiens
hsa-miR-452	hsa-miR-452	Homo sapiens
hsa-miR-324-3p	hsa-miR-324-3p	Homo sapiens
hsa-miR-451	hsa-miR-451	Homo sapiens
hsa-miR-22	hsa-miR-22	Homo sapiens
hsa-miR-24	hsa-miR-24	Homo sapiens
hsa-miR-26a	hsa-miR-26a	Homo sapiens
hsa-miR-302a	hsa-miR-302a	Homo sapiens
hsa-miR-200b	hsa-miR-200b	Homo sapiens
hsa-miR-519e*	hsa-miR-519e*	Homo sapiens
hsa-miR-20a	hsa-miR-20a	Homo sapiens
hsa-miR-96*	hsa-miR-96*	Homo sapiens
hsa-miR-151-3p	hsa-miR-151-3p	Homo sapiens
hsa-miR-551b*	hsa-miR-551b*	Homo sapiens
hsa-miR-339-5p	hsa-miR-339-5p	Homo sapiens
hsa-miR-148a	hsa-miR-148a	Homo sapiens
hsa-miR-425*	hsa-miR-425*	Homo sapiens
hsa-miR-326	hsa-miR-326	Homo sapiens
hsa-miR-519e	hsa-miR-519e	Homo sapiens
hsa-miR-101	hsa-miR-101	Homo sapiens
hsa-miR-30d*	hsa-miR-30d*	Homo sapiens
hsa-miR-448	hsa-miR-448	Homo sapiens
hsa-miR-505	hsa-miR-505	Homo sapiens
hsa-miR-18a	hsa-miR-18a	Homo sapiens
hsa-miR-412	hsa-miR-412	Homo sapiens
hsa-miR-487b	hsa-miR-487b	Homo sapiens
hsa-miR-219-2-3p	hsa-miR-219-2-3p	Homo sapiens
