Array Design Name	OSU-CCC Human and Mouse MicroRNA Microarray Version 3.0
Provider	Ewy Mathe(mathee@mail.nih.gov)
Comment[ArrayExpressAccession]	A-GEOD-8835
Comment[SecondaryAccession]	GPL8835
Comment[Description]	Array Manufacturer: Microarray Shared Resource, Comprehensive Cancer Center, The Ohio State University (OSU-CCC), Distribution: non-commercial, Technology: spotted oligonucleotide<br>Reporter Name = Oligo identifier<br>Reporter Database Entry [mirbase] = Registry name in Sanger's miRBase (http://microrna.sanger.ac.uk) LINK_PRE:http://microrna.sanger.ac.uk/cgi-bin/sequences/mirna_entry.pl?acc=<br>Comment[Contains_Mature_MiRNA] = Whether or not the oligo sequence contains the mature miRNA sequence<br>Reporter Group [organism] = Organism
Comment[SubmittedName]	OSU-CCC Human and Mouse MicroRNA Microarray Version 3.0
Comment[Organism]	Homo sapiens Mus musculus
Printing Protocol	Manufactured using GE Healthcare's CodeLink (TM) 3-D Gel Matrix Technology. CodeLink(tm) Activated Slides are designed to covalently immoblize amine-modified DNA for microarrays. The slides are coated with a 3-D surface chemistry comprised of a long-chain, hydrophilic polymer containing amine-reactive groups. This polymer is covalently crosslinked to itself and to the surface of the slide. The crosslinked polymer, combined with end-point attachment, orients the immobilized DNA, and holds it away from the surface of the slide. The 1x printing buffer consists of 50 mM sodium phosphate at pH 8.5. Codelink slides are manufactured by SurModics and were formally sold as 3D-Link(tm) Activated Slides. Microarrays are printed with an Omnigrid robotic arrayer by Genomic Solutions that is fitted with a printhead and 16 SMP3 print tips from Telechem. The microRNA microarray probe set is based on 40mer oligonucleotides from Sigma-Genosys. Oligonucleotide probes are distributed into 384-well polypropylene plates (Genetix, 384 micro array) and dissolved in print buffer (150mM sodium phosphate, pH 8.5, 4% sodium sulfate, 0.0001% N-lauryl sarcosyl) to a normalized 25 micromolar concentration. The miRNA microarray spot densities are 200 microns (center-to-center). The microarrays are printed on Codelink Activated Slide (PN300011)) and treated by a method that is an adaptation of the manufacturer's instructions to allow higher throughput processing.
Surface Type
Substrate Type
Term Source Name	mirbase
Comment[AdditionalFile:txt]	A-GEOD-8835_comments.txt

[main]
Reporter Name	Reporter Database Entry [mirbase]	Reporter Group [organism]
hsa-mir-034precNo1	hsa-miR-34a	Homo sapiens
hsa-mir-092-prec-X=092-2	hsa-miR-92a	Homo sapiens
hsa-mir-096-prec-7No2	hsa-miR-96	Homo sapiens
hsa-mir-123-precNo1	hsa-miR-126*	Homo sapiens
hsa-mir-124a-3-prec	hsa-mir-124-1	Homo sapiens
hsa-mir-125b-2-precNo1	hsa-miR-125b-2*	Homo sapiens
hsa-mir-134-precNo2	hsa-miR-134	Homo sapiens
hsa-mir-136-precNo2	hsa-miR-136	Homo sapiens
hsa-mir-139-prec	hsa-mir-139	Homo sapiens
hsa-mir-152-precNo1	hsa-miR-152	Homo sapiens
hsa-mir-153-2-prec	hsa-miR-153	Homo sapiens
hsa-mir-181a-precNo1	hsa-miR-181a	Homo sapiens
mmu-mir-125b-2No2	mmu-miR-125b*	Mus musculus
mmu-mir-135a-1No2	mmu-miR-135a*	Mus musculus
mmu-mir-140No2	mmu-mir-140	Mus musculus
mmu-mir-106bNo2	mmu-miR-106b*	Mus musculus
mmu-mir-192No2	mmu-mir-192	Mus musculus
mmu-let-7a-2No2	mmu-let-7a-2	Mus musculus
mmu-mir-31No2	mmu-miR-31*	Mus musculus
mmu-mir-98No2	mmu-mir-98	Mus musculus
mmu-mir-345No2	mmu-mir-345	Mus musculus
mmu-mir-224No2	mmu-mir-224	Mus musculus
mmu-mir-181cNo2	mmu-mir-181c	Mus musculus
mmu-mir-335No2	mmu-mir-335	Mus musculus
hsa-mir-1-1No1	hsa-miR-1	Homo sapiens
hsa-mir-133bNo1	hsa-mir-133b	Homo sapiens
hsa-mir-200cNo1	hsa-miR-200c	Homo sapiens
hsa-mir-340No1	hsa-miR-340*	Homo sapiens
hsa-mir-369No1	hsa-mir-369	Homo sapiens
hsa-mir-373No1	hsa-miR-373	Homo sapiens
hsa-mir-302bNo2	hsa-miR-302b*	Homo sapiens
hsa-mir-323No2	hsa-mir-323	Homo sapiens
hsa-mir-330No2	hsa-mir-330	Homo sapiens
mmu-mir-463No1	mmu-miR-463*	Mus musculus
mmu-mir-465No1	mmu-miR-465a-5p	Mus musculus
mmu-mir-467No1	mmu-miR-467d*	Mus musculus
Hcd148_HPR225right		
Hcd544 right		
Hcd618 right		
Hcd132 right		
Hcd834 right		
Hcd724 right		
HPR175 right		
Hcd818 right		
Hcd547 right		
Hcd376 left		
Hcd38_HPR49left		
Hcd541 left		
Hcd250 right		
Hcd593 right		
Hcd455 right		
Hcd72 left		
Hcd255 left		
Hcd257 left		
Hcd597 right		
Hcd82 right		
Hcd261 right		
Hcd466 right		
HPR235 right		
Hcd602 right		
Hcd955 left		
Hcd657 left		
Hcd956 left		
Hcd99 right		
Hcd665 left		
Hcd825 right		
Hcd491 Hcd18 left		
HPR196 right		
Hcd488 right		
Hcd493 right		
Hcd109 left		
Hcd328_HPR258 right		
Hcd751 right		
Hcd470 left		
Hcd594 left		
Hcd680 right		
Hcd682 right		
Hcd377 right		
Hcd390 right		
Hcd838 right		
Hcd403 left		
Hcd186PO left		
Hcd929 left		
Hcd411 left		
Mcd477 left		
Mcd559 right		
Mcd77 right		
MPR75_Mcd185 right		
Mcd450 right		
MPR246 Mcd440 right		
MPR132 right		
mmu-mir-466 right	mmu-miR-466a-3p	Mus musculus
Mcd434 right		
Mcd669 left		
Mcd492 left		
MPR127 left		
Mcd399 right		
Mcd416 right		
Mcd330 left		
Mcd688 right		
Mcd533 left		
Mcd42 right		
Mcd606 right		
Mcd371 left		
MPR4 left		
Mcd139 right		
Mcd691 right		
Mcd140 right		
Mcd326 right		
MPR249 right		
Mcd89 right		
Mcd501 left		
Mcd12 left		
Mcd398 left		
Mcd395 left		
Mcd7 right		
Mcd542 left		
Mcd312 left		
Mcd93 left		
Mcd654 left		
Blank		
mmu-mir-140s-prec	mmu-miR-140*	Mus musculus
mmu-mir-144-prec	mmu-miR-144	Mus musculus
mmu-mir-150-prec	mmu-miR-150	Mus musculus
mmu-mir-190-prec	mmu-miR-190	Mus musculus
mmu-mir-194-prec	mmu-miR-194	Mus musculus
mmu-mir-200a-precNo1	mmu-miR-200b	Mus musculus
mmu-mir-216-precNo2	hsa-miR-216a	Homo sapiens
mmu-mir-218-2-precNo2	mmu-mir-218-2	Mus musculus
mmu-mir-221-precNo2	mmu-mir-221	Mus musculus
mmu-mir-30aNo2	mmu-miR-30a	Mus musculus
mmu-mir-126No2	mmu-mir-126	Mus musculus
mmu-mir-9-2No2	mmu-miR-9*	Mus musculus
mmu-mir-293No2	mmu-miR-293*	Mus musculus
mmu-mir-301No2	mmu-mir-301a	Mus musculus
mmu-mir-19b-1No2	mmu-mir-19b-1	Mus musculus
mmu-mir-326No2	mmu-mir-326	Mus musculus
mmu-mir-331No2	mmu-mir-331	Mus musculus
mmu-mir-340No2	mmu-mir-340	Mus musculus
Mcd499 left		
Mcd333 left		
hsa-mir-492No2	hsa-mir-492	Homo sapiens
hsa-mir-494No2	hsa-mir-494	Homo sapiens
hsa-mir-496No2	hsa-mir-496	Homo sapiens
hsa-mir-504No2	hsa-mir-504	Homo sapiens
hsa-mir-506No2	hsa-mir-506	Homo sapiens
hsa-mir-508No2	hsa-mir-508	Homo sapiens
hsa-mir-514-1No2	hsa-mir-514-3	Homo sapiens
hsa-mir-515-13p	hsa-miR-515-3p	Homo sapiens
hsa-mir-516-1No2	hsa-mir-516a-1	Homo sapiens
hsa-mir-518a-2	hsa-mir-518a-2	Homo sapiens
hsa-mir-518c	hsa-miR-518c	Homo sapiens
hsa-mir-518e	hsa-miR-518e	Homo sapiens
Hcd570 right		
Hcd572 right		
Hcd233PO right		
Hcd431 left		
Hcd767 right		
Hcd435 Hcd436 right		
Hcd53 left		
HPR165 left		
Hcd872 left		
Hcd57_HPR192 left		
Hcd583 left		
Hcd443 left		
Hcd930 right		
Hcd931_HPR212 right		
Hcd540 left		
Hcd933_HPR179 right		
Hcd797 right		
Hcd625 right		
Hcd579_HPR252 left		
Hcd628 right		
Hcd590 left		
Hcd609 left		
Hcd802 left		
Hcd286 right		
Hcd368 right		
Hcd703 left		
Hcd745 left		
HPR226 left		
Hcd532 right		
Hcd946 left		
Hcd811 right		
HPR232 left		
Hcd156 right		
HPR231 right		
Hcd165 right		
Hcd773 left		
Hcd225 right		
Hcd405 left		
Hcd452 left		
HPR239 left		
Hcd237 left		
Hcd50_HPR142 left		
HPR191 left		
Hcd333 right		
Hcd110 right		
Hcd347_HPR168 right		
Hcd963 right		
Hcd964 left		
Mcd561 right		
Mcd418 right		
Mcd415 right		
Mcd648 right		
Mcd244 right		
Mcd463 right		
Mcd547 right		
MPR241 Mcd579 left		
Mcd285 left		
Mcd662 left		
MPR157_Mcd101 left		
Mcd320 left		
Mcd426 right		
Mcd590 right		
Mcd628 left		
Mcd718 right		
Mcd156 left		
Mcd293 left		
Mcd233 left		
Mcd572 right		
MPR173 right		
MPR43 left		
Mcd162 left		
Mcd177 left		
Mcd91 left		
Mcd619 left		
Mcd700 left		
Mcd322 left		
Mcd323 left		
Mcd96 left		
MPR144 Mcd121 left		
Mcd111 right		
Mcd509 left		
MPR141 left		
Mcd676 left		
Mcd71 left		
hsa-mir-099-prec-21	hsa-miR-99a	Homo sapiens
hsa-mir-101-prec-9	hsa-miR-101	Homo sapiens
hsa-mir-105-prec-X.1=105-1	hsa-miR-105	Homo sapiens
hsa-mir-128a-precNo2	hsa-miR-128	Homo sapiens
hsa-mir-129-precNo2	hsa-miR-129*	Homo sapiens
hsa-mir-132-precNo2	hsa-miR-132*	Homo sapiens
hsa-mir-141-precNo2	hsa-mir-141	Homo sapiens
hsa-mir-144-precNo2	hsa-miR-144*	Homo sapiens
hsa-mir-148-prec	hsa-miR-148a	Homo sapiens
hsa-mir-181c-precNo1	hsa-miR-181c	Homo sapiens
hsa-mir-183-precNo1	hsa-miR-183	Homo sapiens
hsa-mir-185-precNo1	hsa-miR-185	Homo sapiens
mmu-mir-24-1No2	mmu-miR-24	Mus musculus
mmu-mir-296No2	mmu-mir-296	Mus musculus
mmu-mir-34cNo2	mmu-miR-34c*	Mus musculus
mmu-let-7eNo2	mmu-let-7e	Mus musculus
mmu-mir-16-1No2	mmu-miR-16*	Mus musculus
mmu-mir-21No2	mmu-miR-21*	Mus musculus
mmu-mir-10a-1No2	mmu-mir-10a	Mus musculus
mmu-mir-32No2	mmu-mir-32	Mus musculus
mmu-mir-219-2No2	mmu-mir-219-2	Mus musculus
Mcd505 left		
MPR120_Mcd351 left		
Mcd124 left		
hsa-mir-302bNo1	hsa-miR-302b	Homo sapiens
hsa-mir-323No1	hsa-mir-323	Homo sapiens
hsa-mir-330No1	hsa-mir-330	Homo sapiens
hsa-mir-1-1No2	hsa-mir-1-1	Homo sapiens
hsa-mir-133bNo2	hsa-mir-133b	Homo sapiens
hsa-mir-200cNo2	hsa-miR-200c*	Homo sapiens
hsa-mir-340No2	hsa-miR-340	Homo sapiens
hsa-mir-369No2	hsa-mir-369	Homo sapiens
hsa-mir-373No2	hsa-miR-373*	Homo sapiens
mmu-mir-469	mmu-mir-469	Mus musculus
mmu-mir-471No2	mmu-mir-471	Mus musculus
mmu-mir-4855p	mmu-miR-485	Mus musculus
Hcd636 left		
Hcd950 left		
Hcd512 left		
Hcd683 right		
Hcd517 right		
Hcd518 right		
HPR236 right		
Hcd428 right		
Hcd568 right		
Hcd903 left		
HPR269 left		
Hcd415 left		
Hcd67 left		
Hcd254_HPR171 left		
Hcd70 left		
Hcd595 left		
Hcd459 left		
Hcd775 right		
Hcd780 right		
Hcd263 right		
Hcd462 right		
HPR264 right		
Hcd269 right		
Hcd914 right		
Hcd484 left		
Hcd958 left		
HPR263 left		
Hcd322 right		
Hcd668 right		
Hcd326 right		
Hcd663 right		
hsa_mir_147 right	hsa-mir-147	Homo sapiens
Hcd107 right		
Hcd640 right		
Hcd947_HPR107 right		
Hcd810 right		
Hcd651 right		
Hcd858 right		
Hcd862 right		
Hcd712 right		
Hcd534 right		
Hcd162 right		
Hcd180 left		
Hcd553 right		
Hcd182 left		
Hcd187 left		
Hcd188PO left		
Hcd408 left		
Mcd456 right		
Mcd538 right		
MPR110 right		
Mcd588 right		
Mcd472 right		
Mcd468 right		
Mcd310 right		
MPR165 right		
Mcd109 left		
Mcd51 left		
Mcd53 left		
MPR164 right		
Mcd642 left		
Mcd704 right		
Mcd511 right		
Mcd424 right		
Mcd365 right		
Mcd630 left		
Mcd695 right		
Mcd11 right		
Mcd307 right		
Mcd141 left		
Mcd543 right		
Mcd269 right		
MPR104_Mcd88 left		
Mcd196 left		
Mcd684 left		
Mcd650 left		
